Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-09T15:50:00.000,433.1,433.96,433.97,432.96
2020-10-09T15:40:00.000,432.95,433.1,433.4,432.32
2020-10-09T15:30:00.000,433.39,432.93,433.48,432.67
2020-10-09T15:20:00.000,433.14,433.4,433.48,432.74
2020-10-09T15:10:00.000,432.66,433.21,433.5,432.5
2020-10-09T15:00:00.000,432.23,432.66,432.81,431.96
2020-10-09T14:50:00.000,431.44,432.13,432.35,431.31
2020-10-09T14:40:00.000,432.75,431.44,432.75,431.34
2020-10-09T14:30:00.000,433.02,432.69,433.07,432.38
2020-10-09T14:20:00.000,433.41,433.06,433.5,432.81
2020-10-09T14:10:00.000,432.63,433.41,433.47,432.49
2020-10-09T14:00:00.000,433.52,432.65,433.75,432.41
2020-10-09T13:50:00.000,433.75,433.53,433.98,433.3
2020-10-09T13:40:00.000,433.3,433.73,433.99,432.8
2020-10-09T13:30:00.000,433.04,433.35,433.39,432.4
2020-10-09T13:20:00.000,432.75,433.0,433.11,432.0
2020-10-09T13:10:00.000,432.41,432.79,433.02,432.31
2020-10-09T13:00:00.000,431.83,432.41,432.55,431.46
2020-10-09T12:50:00.000,431.98,431.88,432.63,431.59
2020-10-09T12:40:00.000,432.67,431.98,433.39,431.82
2020-10-09T12:30:00.000,432.49,432.67,433.38,432.31
2020-10-09T12:20:00.000,434.24,432.47,434.36,432.05
2020-10-09T12:10:00.000,433.89,434.26,434.38,433.5
2020-10-09T12:00:00.000,432.98,433.91,434.13,432.76
2020-10-09T11:50:00.000,434.39,433.0,434.42,432.36
2020-10-09T11:40:00.000,433.38,434.43,434.59,433.17
2020-10-09T11:30:00.000,432.17,433.37,433.8,432.0
2020-10-09T11:20:00.000,432.11,432.18,432.44,431.25
2020-10-09T11:10:00.000,432.92,432.07,433.84,431.6
2020-10-09T11:00:00.000,431.86,432.79,433.51,431.66
2020-10-09T10:50:00.000,431.08,431.86,432.47,430.95
2020-10-09T10:40:00.000,431.28,431.18,431.68,430.03
2020-10-09T10:30:00.000,429.27,431.25,432.19,429.15
2020-10-09T10:20:00.000,429.88,429.27,430.28,428.51
2020-10-09T10:10:00.000,430.24,429.81,430.82,429.29
2020-10-09T10:00:00.000,432.15,430.2,432.75,430.16
2020-10-09T09:50:00.000,431.41,432.07,432.82,430.15
2020-10-09T09:40:00.000,427.23,431.3,431.8,426.46
2020-10-09T09:30:00.000,430.01,427.18,430.7,426.8
