Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-16T15:50:00.000,439.47,439.91,441.02,438.9
2020-10-16T15:40:00.000,442.32,439.52,442.41,438.85
2020-10-16T15:30:00.000,444.5,442.3,444.8,442.3
2020-10-16T15:20:00.000,445.62,444.6,445.86,444.4
2020-10-16T15:10:00.000,446.69,445.64,446.79,445.05
2020-10-16T15:00:00.000,449.12,446.65,449.45,446.41
2020-10-16T14:50:00.000,448.41,449.08,449.4,448.15
2020-10-16T14:40:00.000,448.67,448.32,448.92,448.05
2020-10-16T14:30:00.000,447.64,448.73,448.73,447.2
2020-10-16T14:20:00.000,447.08,447.57,447.85,446.8
2020-10-16T14:10:00.000,447.43,447.01,447.63,446.41
2020-10-16T14:00:00.000,448.48,447.37,449.0,447.2
2020-10-16T13:50:00.000,449.8,448.45,449.8,448.03
2020-10-16T13:40:00.000,450.14,449.83,450.71,449.46
2020-10-16T13:30:00.000,450.32,450.19,450.5,449.32
2020-10-16T13:20:00.000,450.52,450.29,451.44,449.87
2020-10-16T13:10:00.000,450.31,450.58,450.89,449.89
2020-10-16T13:00:00.000,448.94,450.28,450.33,448.45
2020-10-16T12:50:00.000,447.52,449.0,449.35,446.95
2020-10-16T12:40:00.000,446.83,447.63,447.79,445.67
2020-10-16T12:30:00.000,447.88,446.84,448.29,446.1
2020-10-16T12:20:00.000,446.59,447.96,448.25,445.86
2020-10-16T12:10:00.000,445.82,446.6,446.8,444.76
2020-10-16T12:00:00.000,446.69,445.82,447.02,444.83
2020-10-16T11:50:00.000,446.16,446.69,447.0,445.75
2020-10-16T11:40:00.000,445.74,446.19,446.26,444.0
2020-10-16T11:30:00.000,445.51,445.79,446.85,445.11
2020-10-16T11:20:00.000,445.27,445.57,445.75,442.88
2020-10-16T11:10:00.000,448.28,445.33,448.4,444.68
2020-10-16T11:00:00.000,449.81,448.16,451.16,447.5
2020-10-16T10:50:00.000,449.0,449.84,450.09,448.06
2020-10-16T10:40:00.000,452.07,448.93,452.4,448.86
2020-10-16T10:30:00.000,452.24,452.14,452.87,451.27
2020-10-16T10:20:00.000,454.23,452.25,454.6,452.1
2020-10-16T10:10:00.000,454.93,454.23,455.05,453.01
2020-10-16T10:00:00.000,451.83,454.83,455.08,451.83
2020-10-16T09:50:00.000,451.64,451.91,452.87,451.04
2020-10-16T09:40:00.000,454.34,451.63,455.1,451.55
2020-10-16T09:30:00.000,454.19,454.29,455.95,451.88
