Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-02T15:50:00.000,416.81,415.27,417.44,415.0
2020-10-02T15:40:00.000,419.85,416.85,419.93,416.51
2020-10-02T15:30:00.000,418.51,419.83,420.21,418.15
2020-10-02T15:20:00.000,418.61,418.47,419.65,418.1
2020-10-02T15:10:00.000,418.9,418.69,419.8,417.66
2020-10-02T15:00:00.000,420.44,418.97,420.66,418.23
2020-10-02T14:50:00.000,418.7,420.38,420.95,418.03
2020-10-02T14:40:00.000,419.08,418.77,420.28,418.2
2020-10-02T14:30:00.000,419.58,419.27,420.4,418.51
2020-10-02T14:20:00.000,420.99,419.65,421.73,419.36
2020-10-02T14:10:00.000,422.66,421.02,423.0,420.25
2020-10-02T14:00:00.000,420.87,422.66,423.64,420.82
2020-10-02T13:50:00.000,419.12,420.89,421.8,418.01
2020-10-02T13:40:00.000,421.43,419.08,421.45,418.01
2020-10-02T13:30:00.000,420.5,421.36,421.82,420.03
2020-10-02T13:20:00.000,422.28,420.46,423.8,420.12
2020-10-02T13:10:00.000,424.38,422.21,425.29,421.44
2020-10-02T13:00:00.000,425.22,424.35,425.74,423.34
2020-10-02T12:50:00.000,426.85,425.1,427.28,424.85
2020-10-02T12:40:00.000,427.63,426.76,428.67,426.53
2020-10-02T12:30:00.000,425.25,427.74,427.8,423.39
2020-10-02T12:20:00.000,428.37,425.28,429.1,425.16
2020-10-02T12:10:00.000,425.53,428.3,428.5,424.74
2020-10-02T12:00:00.000,426.4,425.51,426.43,421.36
2020-10-02T11:50:00.000,429.04,426.38,429.32,424.53
2020-10-02T11:40:00.000,427.47,429.01,430.26,426.56
2020-10-02T11:30:00.000,430.35,427.49,431.78,427.33
2020-10-02T11:20:00.000,433.7,430.36,434.34,430.0
2020-10-02T11:10:00.000,432.78,433.72,434.14,432.6
2020-10-02T11:00:00.000,434.67,432.76,435.44,432.57
2020-10-02T10:50:00.000,437.13,434.76,437.33,434.43
2020-10-02T10:40:00.000,436.01,437.2,437.45,435.33
2020-10-02T10:30:00.000,438.41,436.0,438.53,435.8
2020-10-02T10:20:00.000,436.92,438.44,439.13,436.21
2020-10-02T10:10:00.000,433.39,437.0,437.63,432.95
2020-10-02T10:00:00.000,431.75,433.34,435.75,430.66
2020-10-02T09:50:00.000,434.75,431.65,435.4,431.38
2020-10-02T09:40:00.000,434.86,434.74,436.8,431.0
2020-10-02T09:30:00.000,421.21,434.9,435.23,417.75
