Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-28T15:50:00.000,408.34,406.0,408.48,406.0
2020-10-28T15:40:00.000,409.04,408.34,409.62,408.23
2020-10-28T15:30:00.000,410.77,409.05,411.55,408.88
2020-10-28T15:20:00.000,409.67,410.75,411.46,409.05
2020-10-28T15:10:00.000,409.32,409.54,410.36,408.79
2020-10-28T15:00:00.000,409.78,409.44,410.29,409.18
2020-10-28T14:50:00.000,409.45,409.75,409.78,408.0
2020-10-28T14:40:00.000,410.0,409.35,410.5,409.21
2020-10-28T14:30:00.000,411.13,410.07,411.5,409.8
2020-10-28T14:20:00.000,410.38,411.24,411.5,410.31
2020-10-28T14:10:00.000,410.7,410.43,410.83,409.6
2020-10-28T14:00:00.000,411.89,410.64,411.95,410.64
2020-10-28T13:50:00.000,410.2,411.97,412.18,409.91
2020-10-28T13:40:00.000,410.77,410.2,410.95,409.65
2020-10-28T13:30:00.000,410.25,410.8,410.97,409.31
2020-10-28T13:20:00.000,409.0,410.33,410.33,408.75
2020-10-28T13:10:00.000,409.24,409.06,409.49,408.32
2020-10-28T13:00:00.000,410.34,409.29,411.14,409.0
2020-10-28T12:50:00.000,410.07,410.56,410.96,409.25
2020-10-28T12:40:00.000,411.21,410.08,411.21,410.0
2020-10-28T12:30:00.000,411.49,411.04,412.09,410.78
2020-10-28T12:20:00.000,412.97,411.42,413.35,410.94
2020-10-28T12:10:00.000,413.09,412.98,413.75,412.39
2020-10-28T12:00:00.000,411.94,413.1,413.87,411.63
2020-10-28T11:50:00.000,411.52,412.02,412.75,411.02
2020-10-28T11:40:00.000,410.61,411.49,412.5,410.45
2020-10-28T11:30:00.000,413.1,410.67,413.1,410.57
2020-10-28T11:20:00.000,413.36,413.17,413.74,412.5
2020-10-28T11:10:00.000,412.98,413.24,415.21,412.8
2020-10-28T11:00:00.000,412.85,413.02,413.31,410.47
2020-10-28T10:50:00.000,411.94,413.08,413.2,411.21
2020-10-28T10:40:00.000,413.49,411.95,414.69,411.48
2020-10-28T10:30:00.000,411.85,413.49,414.5,411.01
2020-10-28T10:20:00.000,409.38,411.93,413.31,409.37
2020-10-28T10:10:00.000,411.29,409.38,411.86,409.12
2020-10-28T10:00:00.000,409.97,411.28,411.52,408.59
2020-10-28T09:50:00.000,411.3,409.92,411.42,406.5
2020-10-28T09:40:00.000,414.1,411.22,414.41,410.9
2020-10-28T09:30:00.000,416.48,413.87,418.6,410.25
