Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-06T15:50:00.000,413.8,413.95,415.53,412.54
2020-10-06T15:40:00.000,414.23,413.88,414.77,411.46
2020-10-06T15:30:00.000,414.6,414.37,415.98,413.61
2020-10-06T15:20:00.000,412.48,414.71,415.1,410.91
2020-10-06T15:10:00.000,411.26,412.45,415.77,410.15
2020-10-06T15:00:00.000,415.01,411.29,415.14,406.05
2020-10-06T14:50:00.000,420.52,415.12,420.62,410.38
2020-10-06T14:40:00.000,422.09,420.65,423.35,420.15
2020-10-06T14:30:00.000,420.8,422.05,422.3,420.8
2020-10-06T14:20:00.000,421.52,420.82,421.63,420.45
2020-10-06T14:10:00.000,420.78,421.53,422.43,420.27
2020-10-06T14:00:00.000,420.44,420.77,421.2,420.15
2020-10-06T13:50:00.000,420.2,420.44,420.65,419.19
2020-10-06T13:40:00.000,419.94,420.14,421.52,419.64
2020-10-06T13:30:00.000,419.76,419.97,420.8,419.41
2020-10-06T13:20:00.000,418.83,419.76,420.0,417.51
2020-10-06T13:10:00.000,419.31,418.86,419.36,417.98
2020-10-06T13:00:00.000,417.84,419.32,419.41,417.6
2020-10-06T12:50:00.000,419.76,417.96,419.94,417.1
2020-10-06T12:40:00.000,420.91,419.85,421.0,419.14
2020-10-06T12:30:00.000,421.83,420.98,421.86,419.76
2020-10-06T12:20:00.000,420.24,421.78,422.16,419.7
2020-10-06T12:10:00.000,418.63,420.23,420.53,418.21
2020-10-06T12:00:00.000,417.57,418.61,418.87,416.77
2020-10-06T11:50:00.000,415.8,417.51,417.8,414.85
2020-10-06T11:40:00.000,416.37,415.79,417.67,415.63
2020-10-06T11:30:00.000,415.1,416.34,416.84,414.76
2020-10-06T11:20:00.000,415.26,415.14,416.19,413.2
2020-10-06T11:10:00.000,417.33,415.31,417.74,415.14
2020-10-06T11:00:00.000,418.33,417.3,419.1,416.87
2020-10-06T10:50:00.000,418.54,418.31,419.41,417.75
2020-10-06T10:40:00.000,419.59,418.58,420.5,417.7
2020-10-06T10:30:00.000,416.88,419.54,419.67,416.8
2020-10-06T10:20:00.000,420.49,416.87,420.75,416.75
2020-10-06T10:10:00.000,422.33,420.48,422.34,419.03
2020-10-06T10:00:00.000,420.65,422.3,422.5,420.09
2020-10-06T09:50:00.000,423.12,420.65,423.93,419.74
2020-10-06T09:40:00.000,424.82,423.1,425.31,421.49
2020-10-06T09:30:00.000,423.77,424.67,428.78,423.51
