Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-05T15:50:00.000,425.6,425.5,426.26,425.0
2020-10-05T15:40:00.000,425.07,425.53,426.1,424.7
2020-10-05T15:30:00.000,425.43,425.05,425.5,424.25
2020-10-05T15:20:00.000,425.15,425.37,425.8,424.7
2020-10-05T15:10:00.000,425.46,425.16,426.45,424.61
2020-10-05T15:00:00.000,424.64,425.55,425.75,423.7
2020-10-05T14:50:00.000,422.07,424.64,424.88,421.75
2020-10-05T14:40:00.000,422.3,422.06,422.35,420.71
2020-10-05T14:30:00.000,420.03,422.34,422.5,419.85
2020-10-05T14:20:00.000,420.57,420.01,421.2,419.33
2020-10-05T14:10:00.000,421.98,420.61,422.35,420.57
2020-10-05T14:00:00.000,421.36,421.95,422.4,420.51
2020-10-05T13:50:00.000,421.54,421.25,421.98,420.5
2020-10-05T13:40:00.000,423.12,421.59,424.15,420.81
2020-10-05T13:30:00.000,422.37,423.11,423.5,420.79
2020-10-05T13:20:00.000,421.7,422.32,422.41,421.25
2020-10-05T13:10:00.000,422.56,421.71,423.53,421.7
2020-10-05T13:00:00.000,422.92,422.55,423.12,421.32
2020-10-05T12:50:00.000,421.81,423.0,423.45,421.68
2020-10-05T12:40:00.000,423.79,421.79,424.24,421.49
2020-10-05T12:30:00.000,425.39,423.77,425.5,423.54
2020-10-05T12:20:00.000,423.1,425.4,425.8,422.75
2020-10-05T12:10:00.000,424.42,423.03,424.9,422.42
2020-10-05T12:00:00.000,423.9,424.42,425.44,423.15
2020-10-05T11:50:00.000,423.19,423.85,423.95,422.31
2020-10-05T11:40:00.000,421.17,423.11,423.29,420.16
2020-10-05T11:30:00.000,424.41,421.25,424.67,420.69
2020-10-05T11:20:00.000,425.41,424.28,426.31,424.1
2020-10-05T11:10:00.000,423.45,425.48,425.48,423.14
2020-10-05T11:00:00.000,424.59,423.46,425.3,423.1
2020-10-05T10:50:00.000,427.74,424.55,427.74,423.75
2020-10-05T10:40:00.000,429.44,427.52,429.93,426.33
2020-10-05T10:30:00.000,427.37,429.59,430.3,427.33
2020-10-05T10:20:00.000,428.93,427.32,430.03,427.14
2020-10-05T10:10:00.000,431.68,428.95,432.8,428.23
2020-10-05T10:00:00.000,431.81,431.61,433.64,429.84
2020-10-05T09:50:00.000,429.5,431.77,432.73,428.61
2020-10-05T09:40:00.000,427.92,429.4,431.26,426.52
2020-10-05T09:30:00.000,423.35,427.91,428.89,421.22
