Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-26T15:50:00.000,419.0,420.28,420.67,418.7
2020-10-26T15:40:00.000,419.47,419.0,421.31,418.8
2020-10-26T15:30:00.000,418.99,419.53,419.75,418.15
2020-10-26T15:20:00.000,417.07,418.99,419.0,417.06
2020-10-26T15:10:00.000,415.92,417.09,417.3,415.62
2020-10-26T15:00:00.000,416.8,416.04,418.17,415.88
2020-10-26T14:50:00.000,415.6,416.67,417.5,415.37
2020-10-26T14:40:00.000,415.15,415.48,417.13,415.08
2020-10-26T14:30:00.000,414.76,415.12,415.42,414.23
2020-10-26T14:20:00.000,413.41,414.69,415.1,412.58
2020-10-26T14:10:00.000,414.97,413.34,415.5,413.29
2020-10-26T14:00:00.000,414.53,414.93,415.75,413.66
2020-10-26T13:50:00.000,412.47,414.53,415.1,412.0
2020-10-26T13:40:00.000,411.97,412.51,412.61,410.0
2020-10-26T13:30:00.000,411.82,412.04,412.04,410.51
2020-10-26T13:20:00.000,412.56,411.83,413.8,411.5
2020-10-26T13:10:00.000,413.27,412.55,414.19,412.4
2020-10-26T13:00:00.000,414.12,413.32,414.45,411.9
2020-10-26T12:50:00.000,412.66,414.05,414.17,412.62
2020-10-26T12:40:00.000,414.24,412.62,415.39,412.6
2020-10-26T12:30:00.000,415.5,414.22,415.98,413.87
2020-10-26T12:20:00.000,416.37,415.5,417.46,415.49
2020-10-26T12:10:00.000,417.25,416.36,418.09,415.77
2020-10-26T12:00:00.000,418.49,417.3,418.98,417.2
2020-10-26T11:50:00.000,418.0,418.54,420.0,417.56
2020-10-26T11:40:00.000,417.95,418.07,418.53,416.71
2020-10-26T11:30:00.000,417.51,417.94,418.34,415.98
2020-10-26T11:20:00.000,415.94,417.7,418.8,415.61
2020-10-26T11:10:00.000,417.4,415.96,418.4,414.84
2020-10-26T11:00:00.000,417.84,417.35,417.99,414.46
2020-10-26T10:50:00.000,421.02,417.85,421.19,417.49
2020-10-26T10:40:00.000,421.91,421.11,423.12,420.59
2020-10-26T10:30:00.000,421.32,421.9,422.17,419.67
2020-10-26T10:20:00.000,422.8,421.44,424.64,420.89
2020-10-26T10:10:00.000,423.88,422.75,424.4,421.55
2020-10-26T10:00:00.000,422.5,423.75,425.76,421.5
2020-10-26T09:50:00.000,418.0,422.47,423.29,417.94
2020-10-26T09:40:00.000,415.23,417.87,418.77,414.88
2020-10-26T09:30:00.000,411.63,415.13,416.24,410.61
