Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-27T15:50:00.000,424.44,424.47,425.34,424.22
2020-10-27T15:40:00.000,424.49,424.51,425.64,424.3
2020-10-27T15:30:00.000,424.29,424.4,425.29,423.58
2020-10-27T15:20:00.000,423.32,424.35,424.53,423.03
2020-10-27T15:10:00.000,422.5,423.3,423.47,422.45
2020-10-27T15:00:00.000,423.3,422.39,424.08,421.92
2020-10-27T14:50:00.000,422.72,423.25,424.0,422.52
2020-10-27T14:40:00.000,421.65,422.7,423.12,421.25
2020-10-27T14:30:00.000,422.25,421.58,422.32,421.3
2020-10-27T14:20:00.000,421.21,422.39,422.77,421.09
2020-10-27T14:10:00.000,422.38,421.22,422.39,420.8
2020-10-27T14:00:00.000,423.18,422.39,423.63,422.22
2020-10-27T13:50:00.000,424.18,423.19,424.8,423.08
2020-10-27T13:40:00.000,423.41,424.25,424.26,422.8
2020-10-27T13:30:00.000,423.0,423.35,423.74,422.03
2020-10-27T13:20:00.000,422.65,423.01,423.78,422.37
2020-10-27T13:10:00.000,423.69,422.62,423.93,422.55
2020-10-27T13:00:00.000,424.23,423.59,424.34,423.3
2020-10-27T12:50:00.000,423.1,424.34,424.41,422.9
2020-10-27T12:40:00.000,423.66,423.15,425.08,422.79
2020-10-27T12:30:00.000,422.69,423.6,423.89,422.26
2020-10-27T12:20:00.000,423.33,422.66,424.08,422.5
2020-10-27T12:10:00.000,424.79,423.25,424.82,422.67
2020-10-27T12:00:00.000,425.81,424.72,425.82,424.51
2020-10-27T11:50:00.000,426.18,425.72,427.15,425.56
2020-10-27T11:40:00.000,425.63,426.1,426.6,425.4
2020-10-27T11:30:00.000,425.49,425.62,425.99,423.85
2020-10-27T11:20:00.000,426.83,425.66,426.83,425.0
2020-10-27T11:10:00.000,426.43,426.71,427.84,426.12
2020-10-27T11:00:00.000,427.87,426.41,428.4,426.39
2020-10-27T10:50:00.000,427.56,427.76,428.88,427.05
2020-10-27T10:40:00.000,427.03,427.6,427.69,425.23
2020-10-27T10:30:00.000,424.6,426.93,427.81,424.25
2020-10-27T10:20:00.000,424.75,424.61,425.28,423.52
2020-10-27T10:10:00.000,425.09,424.71,426.4,423.82
2020-10-27T10:00:00.000,426.5,425.15,428.23,424.35
2020-10-27T09:50:00.000,427.19,426.51,429.96,426.01
2020-10-27T09:40:00.000,427.14,427.27,430.5,425.31
2020-10-27T09:30:00.000,423.9,427.2,427.4,420.1
