Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-19T15:50:00.000,433.94,430.83,433.94,430.41
2020-10-19T15:40:00.000,432.86,433.92,434.12,431.61
2020-10-19T15:30:00.000,429.44,432.89,433.04,429.42
2020-10-19T15:20:00.000,431.21,429.45,432.23,428.87
2020-10-19T15:10:00.000,433.32,431.28,433.57,431.0
2020-10-19T15:00:00.000,434.8,433.34,435.16,432.58
2020-10-19T14:50:00.000,436.05,435.0,437.7,434.72
2020-10-19T14:40:00.000,436.02,436.05,437.14,435.1
2020-10-19T14:30:00.000,438.36,435.95,438.5,435.87
2020-10-19T14:20:00.000,440.4,438.37,440.52,437.86
2020-10-19T14:10:00.000,438.5,440.35,441.15,437.75
2020-10-19T14:00:00.000,437.2,438.51,438.81,436.84
2020-10-19T13:50:00.000,436.04,437.23,437.76,435.5
2020-10-19T13:40:00.000,438.09,436.13,438.38,435.7
2020-10-19T13:30:00.000,438.8,438.03,438.82,437.65
2020-10-19T13:20:00.000,440.06,438.68,440.41,438.27
2020-10-19T13:10:00.000,438.65,439.99,440.26,438.5
2020-10-19T13:00:00.000,438.72,438.61,439.11,437.29
2020-10-19T12:50:00.000,439.44,438.78,439.65,438.69
2020-10-19T12:40:00.000,438.19,439.47,439.47,437.9
2020-10-19T12:30:00.000,437.28,438.23,438.73,436.75
2020-10-19T12:20:00.000,435.91,437.38,437.5,434.86
2020-10-19T12:10:00.000,437.59,435.88,437.94,435.45
2020-10-19T12:00:00.000,438.09,437.55,439.07,436.69
2020-10-19T11:50:00.000,439.5,438.04,439.7,437.69
2020-10-19T11:40:00.000,439.78,439.5,441.15,438.38
2020-10-19T11:30:00.000,439.65,439.9,441.37,439.29
2020-10-19T11:20:00.000,438.89,439.61,439.77,437.34
2020-10-19T11:10:00.000,437.36,438.84,439.85,437.01
2020-10-19T11:00:00.000,436.61,437.3,438.24,436.11
2020-10-19T10:50:00.000,435.73,436.57,437.15,435.07
2020-10-19T10:40:00.000,439.22,435.84,439.78,432.67
2020-10-19T10:30:00.000,443.04,439.13,443.4,438.17
2020-10-19T10:20:00.000,442.07,443.09,443.88,441.33
2020-10-19T10:10:00.000,439.42,442.05,442.5,437.6
2020-10-19T10:00:00.000,441.69,439.28,442.4,439.04
2020-10-19T09:50:00.000,444.0,441.7,444.96,441.12
2020-10-19T09:40:00.000,445.77,443.92,446.65,443.65
2020-10-19T09:30:00.000,446.35,445.73,447.0,442.6
