Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-30T15:50:00.000,387.14,388.04,389.3,386.68
2020-10-30T15:40:00.000,387.17,386.95,388.51,386.64
2020-10-30T15:30:00.000,388.23,387.16,388.6,386.42
2020-10-30T15:20:00.000,389.54,388.08,390.75,387.9
2020-10-30T15:10:00.000,387.4,389.34,390.07,387.25
2020-10-30T15:00:00.000,386.5,387.42,387.86,385.8
2020-10-30T14:50:00.000,387.28,386.63,387.77,385.81
2020-10-30T14:40:00.000,386.08,387.2,387.74,384.72
2020-10-30T14:30:00.000,385.44,386.14,386.51,383.85
2020-10-30T14:20:00.000,386.86,385.5,387.97,384.61
2020-10-30T14:10:00.000,386.85,386.86,387.7,384.88
2020-10-30T14:00:00.000,383.77,386.82,387.92,383.1
2020-10-30T13:50:00.000,383.48,383.88,384.25,382.75
2020-10-30T13:40:00.000,383.34,383.48,384.19,382.0
2020-10-30T13:30:00.000,386.19,383.45,386.29,382.2
2020-10-30T13:20:00.000,385.66,386.28,386.6,384.8
2020-10-30T13:10:00.000,385.61,385.67,386.11,384.61
2020-10-30T13:00:00.000,386.0,385.69,387.53,385.22
2020-10-30T12:50:00.000,388.28,386.09,388.29,385.36
2020-10-30T12:40:00.000,390.39,388.39,391.75,388.11
2020-10-30T12:30:00.000,392.33,390.28,393.48,389.57
2020-10-30T12:20:00.000,390.46,392.33,392.4,388.21
2020-10-30T12:10:00.000,389.48,390.49,390.66,388.7
2020-10-30T12:00:00.000,386.77,389.57,390.15,386.53
2020-10-30T11:50:00.000,384.87,386.82,386.92,384.07
2020-10-30T11:40:00.000,386.58,384.9,386.85,384.54
2020-10-30T11:30:00.000,386.0,386.5,387.29,384.96
2020-10-30T11:20:00.000,386.5,386.04,388.99,385.62
2020-10-30T11:10:00.000,385.14,386.5,388.26,384.92
2020-10-30T11:00:00.000,379.3,385.14,386.03,379.11
2020-10-30T10:50:00.000,381.34,379.24,384.27,379.21
2020-10-30T10:40:00.000,388.49,381.35,388.78,381.24
2020-10-30T10:30:00.000,387.29,388.5,389.93,385.7
2020-10-30T10:20:00.000,393.78,387.45,393.93,386.51
2020-10-30T10:10:00.000,398.43,393.82,398.6,392.0
2020-10-30T10:00:00.000,397.63,398.64,398.99,394.65
2020-10-30T09:50:00.000,397.64,397.76,398.85,395.39
2020-10-30T09:40:00.000,403.74,397.7,403.74,396.0
2020-10-30T09:30:00.000,406.89,403.77,407.6,402.14
