Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-07T15:50:00.000,424.95,425.19,425.79,424.07
2020-10-07T15:40:00.000,424.95,424.88,425.83,424.3
2020-10-07T15:30:00.000,426.17,424.95,426.97,424.43
2020-10-07T15:20:00.000,426.77,426.16,427.34,425.67
2020-10-07T15:10:00.000,426.82,426.73,427.55,426.28
2020-10-07T15:00:00.000,427.5,426.87,427.99,426.5
2020-10-07T14:50:00.000,425.92,427.44,427.69,425.63
2020-10-07T14:40:00.000,427.22,425.93,427.29,425.75
2020-10-07T14:30:00.000,427.8,427.12,428.25,426.95
2020-10-07T14:20:00.000,427.3,427.86,428.64,427.19
2020-10-07T14:10:00.000,425.97,427.2,427.55,425.53
2020-10-07T14:00:00.000,427.25,425.92,428.12,425.36
2020-10-07T13:50:00.000,429.7,427.25,429.76,426.67
2020-10-07T13:40:00.000,429.11,429.72,429.9,428.71
2020-10-07T13:30:00.000,428.44,429.09,429.82,428.05
2020-10-07T13:20:00.000,427.6,428.41,428.79,427.36
2020-10-07T13:10:00.000,428.69,427.6,429.2,426.75
2020-10-07T13:00:00.000,426.99,428.58,429.5,426.91
2020-10-07T12:50:00.000,425.87,426.94,427.25,425.05
2020-10-07T12:40:00.000,424.29,425.85,426.6,424.17
2020-10-07T12:30:00.000,422.81,424.37,424.71,422.64
2020-10-07T12:20:00.000,422.72,422.8,425.48,420.0
2020-10-07T12:10:00.000,420.85,422.75,422.88,420.29
2020-10-07T12:00:00.000,419.22,420.8,421.05,419.11
2020-10-07T11:50:00.000,420.02,419.16,420.09,418.62
2020-10-07T11:40:00.000,419.6,420.0,420.88,419.4
2020-10-07T11:30:00.000,419.95,419.53,420.5,419.34
2020-10-07T11:20:00.000,420.85,419.9,421.17,419.61
2020-10-07T11:10:00.000,419.55,420.8,420.98,418.7
2020-10-07T11:00:00.000,418.93,419.55,420.38,418.4
2020-10-07T10:50:00.000,417.13,418.88,419.2,416.61
2020-10-07T10:40:00.000,416.19,417.14,417.57,415.77
2020-10-07T10:30:00.000,414.45,416.15,416.36,413.85
2020-10-07T10:20:00.000,416.9,414.45,418.15,414.32
2020-10-07T10:10:00.000,418.72,416.9,419.06,416.1
2020-10-07T10:00:00.000,419.66,418.63,420.0,417.54
2020-10-07T09:50:00.000,418.34,419.65,421.08,418.04
2020-10-07T09:40:00.000,420.1,418.3,421.15,418.12
2020-10-07T09:30:00.000,419.83,420.2,423.22,418.33
