Dates,First traded price,Last traded price,Highest traded price,Lowest traded price
2020-10-13T15:50:00.000,447.16,446.65,447.84,446.12
2020-10-13T15:40:00.000,446.9,447.16,447.48,446.61
2020-10-13T15:30:00.000,447.7,446.91,447.92,446.5
2020-10-13T15:20:00.000,447.74,447.7,448.5,446.87
2020-10-13T15:10:00.000,445.86,447.78,448.1,445.78
2020-10-13T15:00:00.000,446.14,445.86,446.38,445.38
2020-10-13T14:50:00.000,445.83,446.14,446.78,445.2
2020-10-13T14:40:00.000,447.07,445.77,447.54,445.39
2020-10-13T14:30:00.000,445.89,447.07,447.15,445.09
2020-10-13T14:20:00.000,446.74,445.92,447.2,445.78
2020-10-13T14:10:00.000,444.84,446.84,447.45,444.58
2020-10-13T14:00:00.000,443.79,444.85,445.03,443.43
2020-10-13T13:50:00.000,445.43,443.68,445.97,443.44
2020-10-13T13:40:00.000,445.08,445.44,445.8,444.53
2020-10-13T13:30:00.000,443.91,445.09,445.16,443.53
2020-10-13T13:20:00.000,442.96,443.89,444.1,442.07
2020-10-13T13:10:00.000,440.78,442.98,443.21,440.67
2020-10-13T13:00:00.000,443.53,440.79,443.65,440.75
2020-10-13T12:50:00.000,442.57,443.53,444.26,442.31
2020-10-13T12:40:00.000,443.25,442.57,443.6,442.21
2020-10-13T12:30:00.000,444.5,443.17,444.69,442.73
2020-10-13T12:20:00.000,444.1,444.55,444.87,443.52
2020-10-13T12:10:00.000,446.58,444.07,446.67,444.06
2020-10-13T12:00:00.000,445.64,446.52,447.07,445.64
2020-10-13T11:50:00.000,445.41,445.71,446.21,444.86
2020-10-13T11:40:00.000,445.74,445.39,447.43,444.67
2020-10-13T11:30:00.000,446.7,445.89,446.74,445.63
2020-10-13T11:20:00.000,447.4,446.69,448.0,446.51
2020-10-13T11:10:00.000,448.41,447.35,448.5,446.87
2020-10-13T11:00:00.000,447.4,448.42,448.89,446.56
2020-10-13T10:50:00.000,446.14,447.4,447.6,445.48
2020-10-13T10:40:00.000,444.88,446.12,447.3,444.5
2020-10-13T10:30:00.000,444.55,444.91,446.03,443.75
2020-10-13T10:20:00.000,444.6,444.5,445.81,443.77
2020-10-13T10:10:00.000,441.22,444.69,445.25,440.02
2020-10-13T10:00:00.000,440.0,441.17,441.25,439.3
2020-10-13T09:50:00.000,439.75,440.0,440.25,437.75
2020-10-13T09:40:00.000,438.38,439.76,439.93,436.6
2020-10-13T09:30:00.000,443.35,438.35,443.6,438.14
